customerID,TotalCharges,MonthlyCharges,Churn
8883-ANODQ,5746.75,84.4,No
7479-NITWS,631.85,89.35,Yes
1482-OXZSY,2936.25,100.4,No
2208-NQBCT,2070.05,81.95,No
8075-GXIUB,183.15,19.85,No
3597-MVHJT,2595.25,95.6,No
5149-TGWDZ,2239.4,104.55,No
8849-GYOKR,5763.3,106.55,Yes
5917-HBSDW,683.75,19.35,No
3892-NXAZG,8289.2,114.05,No
4010-YLMVT,5893.95,106.6,No
6223-DHJGV,958.1,20.65,No
9866-OCCKE,8075.35,109.75,No
7833-PKIHD,3966.3,76.4,No
5167-ZFFMM,90.85,90.85,Yes
1849-RJYIG,487.75,60.0,No
9715-SBVSU,815.55,61.4,No
2650-GYRYL,600.25,19.45,No
2868-MZAGQ,79.25,79.25,Yes
7268-IGMFD,1743.9,93.9,No
4806-DXQCE,7714.65,113.65,No
0191-ZHSKZ,2111.3,74.75,No
7544-ZVIKX,6004.85,105.05,No
0559-CKHUS,521.8,19.55,No
2612-RANWT,1164.3,100.15,Yes
0780-XNZFN,1125.6,20.65,No
0377-JBKKT,1271.8,57.95,No
5915-DGNVC,3472.05,71.8,No
8388-DMKAE,174.65,20.25,No
5876-QMYLD,415.1,20.05,No
2831-EBWRN,199.75,45.9,No
8041-TMEID,6991.9,108.5,No
6141-OOXUQ,19.65,19.65,Yes
2694-CIUMO,958.25,79.55,No
6960-HVYXR,76.0,76.0,Yes
0971-QIFJK,1641.8,24.25,No
0807-ZABDG,154.65,55.1,Yes
4923-ADWXJ,1679.65,65.8,No
5394-MEITZ,4946.7,80.6,No
9732-EQMWY,5025.0,99.4,No
9747-DDZOS,73.5,73.5,Yes
1407-DIGZV,52.0,19.1,No
1470-PSXNM,4520.15,93.65,No
5236-PERKL,6465.0,112.95,Yes
8169-SAEJD,3952.65,56.55,No
6917-FIJHC,1776.0,26.0,No
3978-YNKDD,467.5,20.85,No
1866-DIOQZ,4689.15,66.8,No
2933-FILNV,36.55,24.4,Yes
4926-UMJZD,1498.55,49.2,No
4415-IJZTP,74.5,74.5,Yes
2514-GINMM,79.5,79.5,Yes
6175-IRFIT,426.35,78.75,No
3146-MSEGF,6425.65,88.05,No
7779-LGOVN,856.65,86.65,Yes
4353-HYOJD,1336.15,49.85,No
3096-GKWEB,1691.9,94.75,No
3230-JCNZS,7061.65,99.0,No
7389-KBFIT,63.75,30.25,No
8280-MQRQN,50.45,50.45,Yes
6432-TWQLB,401.1,85.4,Yes
3967-VQOGC,1680.25,24.9,No
3090-HAWSU,6876.05,111.6,Yes
1230-QAJDW,209.9,65.25,No
0207-MDKNV,1582.75,105.1,Yes
8182-PNAGI,593.75,50.25,Yes
8680-CGLTP,1696.2,58.75,No
4026-SKKHW,152.3,50.25,No
7634-HLQJR,1016.7,20.05,No
9863-JZAIC,2010.55,55.0,Yes
4355-CVPVS,4968.0,88.9,No
5131-PONJI,4494.65,90.4,No
7596-IIWYC,538.2,20.25,No
8417-FMLZI,477.55,83.55,Yes
2403-BCASL,4534.9,111.95,Yes
2041-JIJCI,370.25,64.0,No
8404-GFGCZ,250.1,65.6,No
6963-EZQEE,6306.5,88.55,No
0380-NEAVX,3343.15,99.85,No
4770-QAZXN,232.1,19.45,No
6994-ORCWG,773.2,54.25,No
6608-QQLVK,50.5,50.5,Yes
0618-XWMSS,2068.55,74.9,Yes
9124-LHCJQ,85.45,85.45,Yes
1099-BTKWT,3723.65,54.4,No
2921-XWDJH,3147.15,83.45,No
5777-KJIRB,2023.55,50.25,No
8309-PPCED,7982.5,110.45,No
7799-LGRDP,1188.2,25.7,No
3178-FESZO,100.25,100.25,Yes
5562-YJQGT,35.1,20.35,No
9702-AIUJO,2230.85,44.8,No
4430-YHXGG,84.2,25.45,No
2303-PJYHN,52.0,19.85,No
7590-VHVEG,29.85,29.85,No
8687-BAFGU,74.0,74.0,No
8361-LTMKD,306.6,74.4,Yes
2004-OCQXK,81.95,81.95,Yes
0565-JUPYD,6590.8,104.5,No
0506-LVNGN,349.65,75.55,Yes
